Neptune Analysis Data Report,,,,,,,,,,
Filename: C:\Neptune\User\Neptune\Data\Boron\2022-02-15 Boron IC-F FF AAJ_5RMs_Seq2_20220215-221507\327_U.dat,,,,,,,,,,
Date: 16/02/2022,,,,,,,,,,
Sample ID: ,,,,,,,,,,
Method Name: C:\Neptune\User\Neptune\Methods\B method F F_AAJ.met,,,,,,,,,,
Wheel ID: ,,,,,,,,,,
Run number: 327,,,,,,,,,,
View Mode: RUN_VIEW,,,,,,,,,,
Evaluation Mode: Static,,,,,,,,,,
Analysis date: 16/02/2022,,,,,,,,,,
Analysis time: 05:50:17,,,,,,,,,,
Operator: ,,,,,,,,,,
Instrument: ,,,,,,,,,,
Comment: ,,,,,,,,,,
SampleType: SMP,,,,,,,,,,
Blank 1: ,,,,,,,,,,
Blank 2: ,,,,,,,,,,
Standard 1: ,,,,,,,,,,
Standard 2: ,,,,,,,,,,
Data Version: 3.3.0.3 ,,,,,,,,,,
Export Version: 3.3.0.3 ,,,,,,,,,,
,,,,,,,,,,
Cycle,Time,9.9,10B,10.2,10.436,10.9,11B,11B/10B (1),10B/9.9 (2),10B/10.1 (3)
1,05:50:46:118,2.51E-04,3.62E-04,1.96E-04,1.22E-04,1.59E-04,7.64E-04,2.11E+00,0.00E+00,0.00E+00
2,05:50:46:384,2.29E-04,4.75E-04,2.03E-04,5.71E-05,2.52E-04,9.43E-04,1.99E+00,0.00E+00,0.00E+00
3,05:50:46:650,2.66E-04,4.37E-04,2.60E-04,-5.41E-05,1.57E-04,9.07E-04,2.08E+00,0.00E+00,0.00E+00
4,05:50:46:917,2.67E-04,4.39E-04,2.47E-04,1.21E-04,6.50E-05,9.01E-04,2.05E+00,3.60E+04,3.60E+04
5,05:50:47:183,2.69E-04,4.74E-04,2.58E-04,1.77E-04,3.55E-04,9.31E-04,1.96E+00,6.41E+03,6.41E+03
6,05:50:47:449,2.68E-04,4.22E-04,2.74E-04,1.68E-04,-1.01E-04,9.47E-04,2.24E+00,8.52E+03,8.52E+03
7,05:50:47:715,2.77E-04,3.83E-04,2.68E-04,1.69E-04,3.13E-05,9.47E-04,2.47E+00,-3.14E+04,-3.14E+04
8,05:50:47:980,2.86E-04,4.14E-04,2.33E-04,6.94E-05,7.22E-05,9.68E-04,2.34E+00,0.00E+00,0.00E+00
9,05:50:48:246,2.64E-04,4.61E-04,2.30E-04,5.78E-05,-6.96E-05,9.06E-04,1.96E+00,3.78E+04,3.78E+04
10,05:50:48:513,3.39E-04,4.25E-04,2.05E-04,2.37E-04,2.95E-04,8.92E-04,2.10E+00,6.89E+03,6.89E+03
11,05:50:48:779,3.24E-04,4.29E-04,1.99E-04,1.03E-04,1.14E-04,9.29E-04,2.17E+00,0.00E+00,0.00E+00
12,05:50:49:045,2.57E-04,4.08E-04,3.01E-04,5.40E-05,1.68E-04,9.97E-04,2.44E+00,5.52E+03,5.52E+03
13,05:50:49:311,2.58E-04,4.23E-04,2.66E-04,1.16E-04,1.06E-04,9.35E-04,2.21E+00,5.71E+03,5.71E+03
14,05:50:49:577,3.14E-04,4.64E-04,2.45E-04,-2.66E-05,1.09E-04,9.33E-04,2.01E+00,4.16E+03,4.16E+03
15,05:50:49:844,2.55E-04,4.18E-04,2.00E-04,1.19E-04,8.74E-05,9.75E-04,2.33E+00,0.00E+00,0.00E+00
16,05:50:50:110,2.47E-04,4.57E-04,2.55E-04,2.64E-04,9.82E-05,9.42E-04,2.06E+00,3.37E+03,3.37E+03
17,05:50:50:375,2.81E-04,4.57E-04,2.70E-04,4.95E-05,2.84E-04,9.21E-04,2.02E+00,1.22E+04,1.22E+04
18,05:50:50:641,3.02E-04,4.40E-04,1.91E-04,1.30E-04,1.69E-04,9.22E-04,2.10E+00,-3.60E+04,-3.60E+04
19,05:50:50:907,3.02E-04,4.59E-04,2.41E-04,4.70E-05,1.50E-04,9.17E-04,2.00E+00,0.00E+00,0.00E+00
20,05:50:51:174,3.15E-04,4.78E-04,2.69E-04,2.10E-04,3.58E-05,9.01E-04,1.89E+00,0.00E+00,0.00E+00
21,05:50:51:440,3.21E-04,4.57E-04,2.84E-04,9.98E-05,1.13E-04,9.83E-04,2.15E+00,0.00E+00,0.00E+00
22,05:50:51:706,2.70E-04,4.25E-04,2.30E-04,1.53E-04,7.35E-05,9.35E-04,2.20E+00,1.16E+04,1.16E+04
23,05:50:51:972,2.58E-04,4.46E-04,2.75E-04,3.95E-05,2.55E-04,9.22E-04,2.07E+00,2.41E+03,2.41E+03
24,05:50:52:237,2.89E-04,4.59E-04,2.79E-04,1.51E-04,1.79E-04,9.43E-04,2.05E+00,-1.88E+04,-1.88E+04
25,05:50:52:503,2.98E-04,3.97E-04,2.02E-04,1.01E-04,1.67E-04,9.55E-04,2.41E+00,6.42E+03,6.42E+03
26,05:50:52:771,2.94E-04,4.45E-04,2.53E-04,1.62E-04,1.18E-04,9.03E-04,2.03E+00,-3.65E+04,-3.65E+04
27,05:50:53:036,2.67E-04,4.77E-04,2.50E-04,3.50E-05,4.83E-05,9.35E-04,1.96E+00,0.00E+00,0.00E+00
28,05:50:53:302,3.04E-04,4.55E-04,2.45E-04,7.46E-05,3.75E-05,9.38E-04,2.06E+00,3.73E+04,3.73E+04
29,05:50:53:569,3.25E-04,4.41E-04,2.69E-04,1.72E-04,1.35E-04,9.39E-04,2.13E+00,7.14E+03,7.14E+03
30,05:50:53:835,2.86E-04,4.42E-04,2.32E-04,1.86E-04,2.93E-05,9.39E-04,2.12E+00,-3.62E+04,-3.62E+04
31,05:50:54:101,2.86E-04,4.38E-04,2.37E-04,1.92E-04,2.59E-04,9.37E-04,2.14E+00,0.00E+00,0.00E+00
32,05:50:54:367,3.23E-04,4.12E-04,2.67E-04,-2.00E-05,1.92E-04,9.07E-04,2.20E+00,3.38E+04,3.38E+04
33,05:50:54:633,2.97E-04,4.59E-04,3.06E-04,7.55E-05,2.95E-04,9.28E-04,2.02E+00,7.43E+03,7.43E+03
34,05:50:54:898,3.07E-04,4.23E-04,2.30E-04,1.59E-04,1.02E-04,9.56E-04,2.26E+00,-3.47E+04,-3.47E+04
35,05:50:55:164,2.84E-04,4.45E-04,2.24E-04,1.14E-04,-6.74E-05,9.44E-04,2.12E+00,0.00E+00,0.00E+00
36,05:50:55:431,2.99E-04,4.24E-04,2.23E-04,1.43E-04,1.74E-04,9.32E-04,2.20E+00,3.48E+04,3.48E+04
37,05:50:55:697,2.88E-04,4.43E-04,2.72E-04,1.00E-04,1.02E-04,9.42E-04,2.13E+00,7.16E+03,7.16E+03
38,05:50:55:963,2.42E-04,4.51E-04,2.51E-04,1.32E-04,1.28E-05,9.66E-04,2.14E+00,0.00E+00,0.00E+00
39,05:50:56:230,2.52E-04,3.92E-04,2.52E-04,1.06E-04,2.39E-04,9.03E-04,2.30E+00,6.35E+03,6.35E+03
40,05:50:56:496,3.02E-04,4.15E-04,2.91E-04,6.15E-05,2.01E-04,8.99E-04,2.17E+00,-3.40E+04,-3.40E+04
41,05:50:56:762,3.15E-04,4.64E-04,2.44E-04,9.50E-05,1.43E-04,9.15E-04,1.97E+00,0.00E+00,0.00E+00
