Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X(um), Y(um), Intended X(um), Intended Y(um), Scan Velocity (um/s), Laser State, Laser Rep. Rate (Hz), Spot Type, Spot Size (um), Spot Angle (deg), MFC1 (ml/min), MFC2 (ml/min), Cell Pressure (kPa), Z(um), Laser Mode, Laser HV (kV), Laser Energy (mJ), On-Sample Fluence (J.cm⁻²)
2022-11-04 19:11:52.899,1,1,,nist,140752,63216,,,,Off,0,Wheel,23.0,0,348.791281059838,6.0244140625,8.03854695431471,0,Compex_EGY_NGR,22.970,63.920,2.809
2022-11-04 19:11:52.939,,,,,140323,63315,,,10000,Off,0,Wheel,23.0,0,348.791281059838,6.0244140625,8.03854695431471,0,Compex_EGY_NGR,22.970,63.920,2.809
2022-11-04 19:12:06.191,,,,,12015,93101,12015.4794921875,93101.21875,,Off,0,Wheel,23.0,0,351.118788032454,5.8974609375,7.28257852157361,0,Compex_EGY_NGR,22.970,63.920,2.809
2022-11-04 19:12:51.741,,,,,12015,93101,,,,On,12,Slit,60.0 x 60.0,0,344.4333956643,5.9892578125,6.73728981598984,0,Compex_EGY_NGR,22.960,64.600,2.883
2022-11-04 19:13:18.705,,,,,12015,93101,,,,Off,0,Slit,60.0 x 60.0,0,344.879088488844,5.953125,6.78686151649745,0,Compex_EGY_NGR,23.241,65.038,2.783
2022-11-04 19:13:19.833,2,1,,nist,12071,93225,,,,Off,0,Slit,60.0 x 60.0,0,343.789617139959,5.884765625,7.84026015228427,0,Compex_EGY_NGR,23.243,65.034,2.783
2022-11-04 19:13:19.883,,,,,12071,93225,,,10000,Off,0,Slit,60.0 x 60.0,0,343.987702839757,5.8837890625,7.82786722715736,0,Compex_EGY_NGR,23.243,65.034,2.783
2022-11-04 19:13:19.953,,,,,12071,93225,12071.1455078125,93225.1875,,Off,0,Slit,60.0 x 60.0,0,343.987702839757,5.8798828125,7.36932899746195,0,Compex_EGY_NGR,23.243,65.034,2.783
2022-11-04 19:14:04.971,,,,,12071,93225,,,,On,12,Slit,60.0 x 60.0,0,347.800852560852,5.921875,7.31975729695431,0,Compex_EGY_NGR,23.160,66.080,2.920
2022-11-04 19:14:31.946,,,,,12071,93225,,,,Off,0,Slit,60.0 x 60.0,0,345.572388438134,5.947265625,6.93557661802031,0,Compex_EGY_NGR,23.278,65.201,2.806
2022-11-04 19:14:33.065,3,1,,GSD,21983,91897,,,,Off,0,Slit,60.0 x 60.0,0,346.463774087221,5.9609375,6.76207566624365,0,Compex_EGY_NGR,23.275,65.161,2.796
2022-11-04 19:14:33.133,,,,,22617,91813,,,10000,Off,0,Slit,60.0 x 60.0,0,346.612338362069,5.9638671875,6.72489689086295,0,Compex_EGY_NGR,23.275,65.161,2.796
2022-11-04 19:14:45.633,,,,,145750,75563,145749.875,75563.4921875,,Off,0,Slit,60.0 x 60.0,0,343.74009571501,5.9267578125,7.233006821066,0,Compex_EGY_NGR,23.240,65.410,2.830
2022-11-04 19:15:30.633,,,,,145750,75563,,,,On,12,Slit,60.0 x 60.0,0,343.938181414807,5.9326171875,7.67915212563453,0,Compex_EGY_NGR,23.090,66.190,2.932
2022-11-04 19:15:57.629,,,,,145750,75563,,,,Off,0,Slit,60.0 x 60.0,0,342.997274340771,5.9169921875,7.17104219543148,0,Compex_EGY_NGR,23.310,64.781,2.741
2022-11-04 19:15:58.751,4,1,,GSD,145687,75891,,,,Off,0,Slit,60.0 x 60.0,0,345.12669561359,5.9091796875,6.08046478426397,0,Compex_EGY_NGR,23.318,64.830,2.751
2022-11-04 19:15:58.791,,,,,145687,75891,,,10000,Off,0,Slit,60.0 x 60.0,0,345.275259888438,5.88671875,6.06807185913706,0,Compex_EGY_NGR,23.318,64.830,2.751
2022-11-04 19:15:58.861,,,,,145687,75891,145686.65625,75891.4140625,,Off,0,Slit,60.0 x 60.0,0,345.12669561359,5.9296875,5.75824873096447,0,Compex_EGY_NGR,23.318,64.830,2.751
2022-11-04 19:16:43.838,,,,,145687,75891,,,,On,12,Slit,60.0 x 60.0,0,345.077174188641,5.8876953125,6.84882614213198,0,Compex_EGY_NGR,23.180,66.530,2.976
2022-11-04 19:17:10.840,,,,,145687,75891,,,,Off,0,Slit,60.0 x 60.0,0,343.839138564909,5.9375,6.84882614213198,0,Compex_EGY_NGR,23.284,65.164,2.797
2022-11-04 19:17:11.994,5,1,,pbcb,135413,78079,,,,Off,0,Slit,60.0 x 60.0,0,343.442967165314,5.89453125,7.41890069796955,0,Compex_EGY_NGR,23.288,65.001,2.740
2022-11-04 19:17:12.042,,,,,135022,78161,,,10000,Off,0,Slit,60.0 x 60.0,0,343.591531440162,5.8818359375,7.48086532360406,0,Compex_EGY_NGR,23.288,65.001,2.740
2022-11-04 19:17:19.332,,,,,64589,92967,64588.578125,92966.8984375,,Off,0,Slit,60.0 x 60.0,0,348.890323909736,6.0087890625,6.83643321700509,0,Compex_EGY_NGR,23.280,64.500,2.679
2022-11-04 19:18:04.307,,,,,64589,92967,,,,On,12,Slit,108.0 x 108.0,0,349.088409609533,5.94140625,6.65053934010153,0,Compex_EGY_NGR,23.080,66.500,2.931
2022-11-04 19:18:31.297,,,,,64589,92967,,,,Off,0,Slit,108.0 x 108.0,0,348.345588235294,5.974609375,7.24539974619289,0,Compex_EGY_NGR,23.301,65.148,2.761
2022-11-04 19:18:32.437,6,1,,pbcb,64882,92959,,,,Off,0,Slit,108.0 x 108.0,0,348.791281059838,5.9326171875,7.27018559644669,0,Compex_EGY_NGR,23.288,65.120,2.752
2022-11-04 19:18:32.477,,,,,64882,92959,,,10000,Off,0,Slit,108.0 x 108.0,0,349.088409609533,5.93359375,7.25779267131981,0,Compex_EGY_NGR,23.288,65.120,2.752
2022-11-04 19:18:32.547,,,,,64882,92959,64882.2421875,92958.9765625,,Off,0,Slit,108.0 x 108.0,0,349.137931034483,5.9326171875,7.08429171954315,0,Compex_EGY_NGR,23.288,65.120,2.752
2022-11-04 19:19:17.541,,,,,64882,92959,,,,On,12,Slit,108.0 x 108.0,0,346.414252662272,5.9267578125,6.96036246827411,0,Compex_EGY_NGR,23.200,65.230,2.772
2022-11-04 19:19:44.554,,,,,64882,92959,,,,Off,0,Slit,108.0 x 108.0,0,346.909466911765,5.9501953125,7.03472001903553,0,Compex_EGY_NGR,23.230,65.398,2.795
2022-11-04 19:19:45.704,7,1,,cb,62090,82874,,,,Off,0,Slit,108.0 x 108.0,0,346.265688387424,5.931640625,7.41890069796955,0,Compex_EGY_NGR,23.246,64.931,2.670
