Num.	Comment	Spot Size	Time	Rep. Rate	Energy	Attenuator
1.	nist	108 µm	00:01:12	9 Hz	65 mJ	53.6%T
2.	nist	108 µm	00:01:12	9 Hz	65 mJ	53.6%T
3.	gsd	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
4.	gsd	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
5.	pbcb	235 µm	00:01:12	12 Hz	65 mJ	53.6%T
6.	pbcb	235 µm	00:01:12	12 Hz	65 mJ	53.6%T
7.	cb	235 µm	00:01:12	12 Hz	65 mJ	53.6%T
8.	cb	235 µm	00:01:12	12 Hz	65 mJ	53.6%T
9.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
10.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
11.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
12.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
13.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
14.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
15.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
16.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
17.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
18.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
19.	jcp nnp	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
20.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
21.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
22.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
23.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
24.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
25.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
26.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
27.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
28.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
29.	jcp np dieter	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
30.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
31.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
32.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
33.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
34.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
35.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
36.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
37.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
38.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
39.	gsc	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
40.	brachiopod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
41.	brachiopod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
42.	brachipod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
43.	brachipod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
44.	brachipod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
45.	brachipod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
46.	brachipod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
47.	brachipod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
48.	brachipod	108 µm	00:01:12	12 Hz	65 mJ	53.6%T
