, Sequence Number, Comment, Spot Size (um), Laser HV (kV), Laser Energy (mJ),filename,11B,11B/10B_row,se,file name,factor_iso,11B/10B_corrected,δ11B,δ11B_se,factor_B,depth_correction,[B]_corrected,Li,B,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,In,Sn,Sb,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Tl,Pb,Bi,Th,U
0,1.0,NIST612 gl,130.0,24.71,76.69,001_A.exp,0.15465205128205128,4.597176902684428,0.001107572843080266,001_A,0.8929295988569956,4.104955327588652,12.444278601221326,0.24392269687422963,321.34437536632254,1.0,49.69656681835125,,31.51598213,129037.7149,31.74627878,8257.51455,337000.0,68595.62602,54.54587066,28.48766783,39.78320154,51.65740698,,37.29159129,39.89163114,,60.05692681,,,28.53963666,75.21952289,55.89029524,47.23346631,,,,,38.15972817,40.7163002,38.6030335,42.06593688,40.23684298,44.10482028,39.02525467,43.28119797,54.03456952,46.44590267,53.41462252,53.74595222,57.27138163,47.55513657,51.21557168,49.81136933,20.49249122,39.56881071,,44.91865622,37.70924026
1,2.0,NIST612 gl,130.0,24.8,75.6,002_A.exp,0.15668413806620476,4.599976606098653,0.0005011802003740075,002_A,0.8942297750554409,4.113436045731889,14.535958991710007,0.11053650458569231,322.0492021472739,1.0,50.46000165335455,,32.99490572,131821.6834,32.51175733,8302.833091,337000.0,70912.06283,54.25918882,28.0889335,39.6358987,53.79140395,,38.53009924,39.97080875,,60.81050729,,,29.25615042,77.20681605,57.30639238,47.84156739,,,,,39.26174699,42.23887147,40.1627254,42.64362304,40.56385695,44.88450172,39.09071896,44.70347706,54.93713308,47.28154583,54.88148384,53.49926489,57.5329574,47.49117435,52.70825753,50.8963733,21.06724019,40.04182274,,45.78753398,38.66197426
2,3.0,NIST612 np,193.0,24.73,77.78,003_B.exp,0.08428438468463383,4.594920827949075,0.0008415171145110844,003_B,0.8928892654504887,4.1027554828706005,11.901709919990289,0.18532040898749955,322.7535514532183,1.0,12.342133422759005,,32.84335522,123794.3907,228.3274034,279530.8829,337000.0,59397.54163,43.18380742,38.92642132,38.91693246,53.31410455,,37.19082066,40.19212423,,65.85511368,,,27.37355116,63.66605637,42.8151701,144.1071581,,,,,35.99013246,32.11487593,43.4379259,35.2661722,31.96933283,35.22192057,32.85407451,32.44098282,37.36012118,33.27488959,37.85581579,36.48105855,40.71647427,35.07611913,36.22381767,37.26099065,17.68670325,36.31635222,,35.99457359,33.52773145
3,4.0,NIST612 np,193.0,24.7,76.97,004_B.exp,0.0867337045459168,4.59610562887183,0.000731371591659925,004_B,0.8930727671378085,4.104656772034223,12.370642997711734,0.16109706527801518,323.4573724908881,1.0,12.728494440712847,,32.48931351,121312.3779,227.5144738,274082.905,337000.0,60526.96585,43.36972644,38.97664724,39.14171642,50.96171884,,35.75286968,39.77784764,,64.10859811,,,27.39004981,64.47494217,41.50032143,136.148671,,,,,36.61100389,32.99217155,41.56633998,34.72978737,32.3135677,35.4385952,33.30255271,32.19892737,38.7433804,35.41506746,39.33147701,37.10665127,39.34766387,34.44126047,35.75325506,37.526757,17.84234782,36.08317851,,36.4478646,34.2740176
4,5.0,B5,285.0,24.79,75.62,005_C.exp,0.09489455761130414,4.5737521020482825,0.0007412188568369227,005_C,0.8924685977187001,4.081930124827988,6.765353268710861,0.16315564280772138,324.1606143045884,1.0,6.400273557544825,,10.61450477,37135.1761,20892.88402,99947.97896,245852.0,62589.1641,29.04114335,6626.58331,255.4127455,14.27782608,,43.97664031,40.77046911,,195.9202491,,,50.57887988,1115.688569,29.39841527,198.5499602,,,,,653.9673944,59.54905476,110.3518171,12.95981721,50.06931644,9.563550091,2.84844474,7.95042587,1.136633981,5.65917036,1.060300771,2.686243334,0.403469444,2.176615658,0.322695722,4.420580935,0.106270307,7.285025112,,8.060182222,2.360190554
5,6.0,B5,285.0,24.81,76.2,006_C.exp,0.0820891362281959,4.57804860315229,0.0009907630992658806,006_C,0.8933893664787204,4.089979941279015,8.750756265634596,0.21830983292234274,324.86322578555195,1.0,5.548597512957816,,9.549051861,35407.72727,13768.38311,109175.448,245852.0,70823.98305,29.79162182,7523.680867,307.0838327,38.09999498,,33.94163555,29.10911081,,192.0521715,,,43.39382562,1289.360125,27.14842266,189.1711124,,,,,609.3203902,52.34530136,103.5337222,12.220437,45.83240124,8.818307893,2.607713931,7.237777253,1.061780058,5.532877128,0.997498495,2.468626209,0.355762294,1.958882117,0.296678664,4.171403573,0.093586582,6.503559416,,7.125487623,2.09574513
6,7.0,BHVO,285.0,24.79,75.97,007_D.exp,0.035921896884760836,4.580046197349578,0.001736653777885259,007_D,0.8928005371597281,4.0890677052100735,8.525762784578506,0.3824110064758737,325.56515568150485,1.0,2.4332916390654344,,2.939141014,20221.39545,20929.95604,76773.53752,233900.0,63852.31083,36.98357497,11380.30517,303.2572006,377.4006803,,47.69363649,133.7694454,,180.8166128,,,7.99707966,373.3262646,28.15307667,167.350148,,,,,130.1626778,15.6388557,37.64590072,5.360756311,24.29747964,6.258461005,2.081074774,5.559588029,1.010229409,5.503917561,1.059261658,2.663472337,0.374543428,1.950008684,0.283782195,4.427714372,0.022130352,1.599984033,,1.188361104,0.39462485
7,8.0,BHVO,285.0,24.72,75.88,008_D.exp,0.03620530202226803,4.575925990533897,0.0017201314725086684,008_D,0.889837869651875,4.071832235101329,4.274814428740781,0.37751587742465315,326.26635260644343,1.0,2.457771179136465,,2.908554687,19408.53534,20956.81774,75958.66354,233900.0,64662.31236,37.49056168,11464.23067,306.4896497,371.7135763,,47.63738953,135.3687692,,176.5197453,,,8.084291553,375.7954814,27.88991824,164.1549467,,,,,130.3315111,15.84015102,37.25569783,5.263258124,24.22286509,6.191040447,2.089992956,5.503932296,1.002849883,5.319066261,1.026959369,2.602924237,0.373986809,1.890193819,0.283101311,4.477968526,0.02166099,1.56126707,,1.171252919,0.401757978
8,9.0,Agate,90.0,24.76,76.54,009_U.exp,0.027109446394887184,4.615742025550418,0.0026528983586463126,009_U,0.8916463367923166,4.115609468660377,15.072011015014652,0.5834127767589923,326.96676505061833,1.0,18.49379099158457,,43.83776871,277.633626,4.68546816,45.96444141,467400.0,2261.331736,11.51628854,,0.166173193,,,0.049262314,,,10.06191685,,,0.496177088,1.321717271,1.996115288,,,,,,1.353448746,,2.316014953,0.006570703,0.044686508,0.020308935,0.004024961,0.067890355,0.0146688,0.117341782,0.03882575,0.115729645,0.032885466,0.08007019,0.014588187,,0.008995163,0.253294825,,,1.161032333
9,10.0,,90.0,24.64,77.74,010_U.exp,0.030655878977982498,4.6156875568226186,0.0026609967179074367,010_U,0.891326484343535,4.1140845628509055,14.695908953238579,0.5849838079719129,327.6663413907264,1.0,20.95787716610712,,39.53807524,236.1660047,8.160391022,52.3468202,467400.0,2434.501466,11.45877419,,0.239225812,,,0.045217882,,,11.87413123,,,0.290693542,0.368520133,2.052528595,,,,,,1.441286735,0.020029087,2.407105093,0.013041666,0.047987799,0.012963431,,0.034634223,0.019707913,0.147102946,0.036947438,0.150765522,0.021245831,0.088387078,0.017188968,0.014419582,0.007895598,0.21067357,,,1.244533097
10,11.0,,90.0,24.74,76.23,011_U.exp,0.02726002569831076,4.625616633813965,0.002489194946189004,011_U,0.8898813926546376,4.116250171984828,15.230033785874397,0.546328342657185,328.36502990030834,1.0,18.676042184481712,,39.12480869,268.0763467,9.511809277,51.58100058,467400.0,2335.212728,10.52157272,,0.181743188,,,0.25711106,2.732989091,,6.652917873,,,0.361396796,0.88316279,2.118149744,,,,,,1.796222676,0.033001408,2.846008524,0.012835776,0.049087638,0.030780659,0.004070164,0.0714749,0.020148042,0.198946733,0.036279053,0.144721866,0.029119962,0.113800605,0.024401029,0.006110515,0.013857234,0.354897066,,0.003146931,1.296480628
11,12.0,,90.0,24.76,76.07,012_U.exp,0.02846249030169692,4.6213625278930985,0.002542927548384878,012_U,0.8918160204650845,4.121405138752086,16.50145239908385,0.5593349430340695,329.0627787603492,1.0,19.541295051859052,,42.30629343,271.6888859,14.68196801,54.94924546,467400.0,2678.410798,11.21013106,,0.110394607,,,0.201187733,,,6.118637245,,,0.329954714,0.544567454,2.1882404,0.608871373,,,,,1.941016126,0.039239261,2.237313188,0.017984774,0.017941161,0.012508319,0.011274817,0.046476522,0.022126086,0.146980927,0.046433905,0.13361867,0.025014215,0.122163187,0.018162289,,0.111966511,0.354439766,,0.001289356,1.344391517
12,13.0,,90.0,24.7,76.63,013_U.exp,0.01955553426064397,4.6234050395052435,0.0038515101636315122,013_U,0.8898448793115422,4.114113299386919,14.702996519156297,0.8452945114622916,329.7595360700813,1.0,13.45453629643628,,42.46003211,269.8873275,5.376146076,47.89714449,467400.0,2523.563291,11.91086349,,0.158142375,,,,,,4.893923749,,,0.350002689,0.849322828,1.927273205,0.78731768,,,,,1.488805184,0.024402884,1.898663057,0.009930107,0.048164962,0.038546579,0.01486601,0.081713995,0.021123547,0.125154952,0.037195022,0.135887858,0.024943239,0.081402203,0.01483357,,0.010543971,0.214675887,,0.001161205,1.230473385
13,14.0,,90.0,24.71,77.85,014_U.exp,0.024211681981277405,4.6238695928627145,0.003496223693729942,014_U,0.8910614944469382,4.120152149544006,16.192415721792088,0.7683685557912927,330.45524985798625,1.0,16.693188688200824,,42.97596526,306.6652212,11.7225102,61.66754011,467400.0,2641.989662,10.52257425,0.816787007,0.174106371,,,0.237067887,23.09839095,,7.604861241,,,0.370315454,0.445277932,2.114668636,0.121812766,,,,,0.995175736,0.027236931,1.408699007,0.023404744,0.042553552,0.007178131,0.003356736,0.093183822,0.029301644,0.189368653,0.05024454,0.126767705,0.018399802,0.08128233,0.027981644,,0.015307953,0.241227417,,0.00196787,1.157639887
