, Sequence Number, Comment, Spot Size (um), Laser HV (kV), Laser Energy (mJ),filename,11B,11B/10B_row,se,factor_iso,factor_B,11B/10B_corrected,δ11B,δ11B_se,[B]_corrected,Li,B,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,In,Sn,Sb,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Tl,Pb,Bi,Th,U
0,1.0,NIST nnp,193.0,24.51,73.3,001_A.exp,0.08567005948905511,4.612142081431648,,0.8779371925966113,411.8889989047601,4.049171070828792,-1.437467119903224,,35.28655503905815,40.0616937,34.38403267,101775.8105,66.98232079,10705.83392,337020.5778,83267.1777,39.18239451,43.38214008,38.59664359,37.90337982,38.64323397,35.21590422,42.58901666,38.22508353,40.19785099,35.53521395,16.37824878,31.4362409,76.73330374,36.99422359,39.46463732,38.54383875,38.544612,34.6443637,,38.64976212,35.06440673,37.07699858,37.31146333,34.80767499,37.18481953,34.85793854,36.45918669,36.43404928,34.52778332,36.98892426,37.14794934,35.65981313,38.16374136,35.9570302,35.78476852,14.78808325,38.60080568,30.14020025,36.60957149,37.06196642
1,2.0,NIST nnp,193.0,24.55,76.26,002_A.exp,0.08499390680551057,4.6139297413851565,,0.8779233348799448,412.8204505565798,4.050676585458618,-1.066193475063315,,35.08722290201482,40.95539858,34.01729533,101503.6946,68.98577676,10776.21244,337020.5778,87056.11816,40.64070917,44.63129428,39.00135374,34.84739902,38.76221491,35.78383683,34.9097735,37.09723115,37.91149301,35.87794464,16.02979299,31.36051747,80.10455482,39.7105779,36.29027119,39.02104002,38.66352907,34.76148527,,40.01519294,36.93694362,39.79577519,38.50287113,36.16576429,38.19130823,36.29910052,38.17040005,38.79551316,36.49970652,39.64479079,38.8832978,37.97361143,40.27222849,37.8855127,37.64342023,15.01981038,38.5423718,30.2583383,38.8286295,37.71108247
2,3.0,B5 nnP,285.0,24.57,76.96,003_B.exp,0.08158295627823614,4.585415523552219,,0.8779100767196321,413.75325805946596,4.02558249407312,-7.254625382707602,,15.479814895408996,8.492678491,10.16894666,29185.66663,5742.293536,3888.707978,245900,104807.1846,38.29042124,11503.14841,463.9776016,38.91372067,1491.55456,45.55607153,28.36638576,123.1441712,131.203235,1.963989829,1.674052428,61.67373775,1234.515936,25.73512197,44.45312303,0.097432708,1.545033105,0.087878315,,647.7150766,57.97530587,88.52870074,13.2844401,52.71118747,10.10336474,2.971562917,8.130663373,1.067271204,5.772257648,1.044117371,2.7134002,0.347026458,2.314674457,0.319976164,4.315974829,0.071268754,7.254856287,0.01923612,7.4588427,2.231423364
3,4.0,B5 nnP,285.0,24.65,76.1,004_B.exp,0.09270560499168412,4.584921007664696,,0.8778974111710508,414.6873962464578,4.025090283052602,-7.376009111565329,,17.629976212320273,9.228174367,10.67724701,28997.7453,5681.34265,3980.017879,245900,104492.6813,41.88063292,8059.52,257.6663712,11.3686407,1326.650252,35.53254058,19.67505204,160.2031106,97.5695548,2.069775392,1.776808481,51.73639727,1240.035592,28.42161795,49.0444424,0.09685515,1.473762506,0.090741168,,696.7322816,61.60369169,91.95965702,13.81679473,56.69212361,10.82784358,3.24782764,9.031402772,1.182714035,6.478343161,1.157380965,3.013857098,0.38710782,2.55079335,0.360716251,4.878253818,0.084122597,7.431691176,0.023002938,8.088325024,2.338007914
4,5.0,MACS,193.0,24.58,76.62,005_C.exp,0.06478929220082565,4.583213986454279,,0.8778853313242022,415.6228396593475,4.023536329028132,-7.759228353111713,,26.92790960402637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,MACS,193.0,24.57,75.98,006_C.exp,0.06626299779459442,4.581091903278671,,0.8778738303036123,416.55956254813185,4.0216206961041125,-8.231640911439463,,27.60248537444408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,blue,130.0,24.58,76.4,007_D.exp,0.07690151554205447,4.597984162640256,,0.877862901268238,417.4975388705111,4.036399717000785,-4.58699950658803,,70.76471010184761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,blue,130.0,24.47,76.9,008_D.exp,0.06406142948750565,4.599180161008573,,0.8778525374113726,418.4367422914373,4.037401974353421,-4.339833698293161,,59.08188610514709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,Sy425G,285.0,24.65,75.99,009_U.exp,0.12487509533046297,4.578447614248593,,0.8778427319605541,419.37714618271207,4.019156961830266,-8.839220263806125,,24.016266316386986,49.55753538,11.93946847,46203.27483,6257.582762,2994.639037,246300,28296.60314,25.02888832,1786.088595,90.2164141,100.5463477,1047.058542,43.94927286,107.1926534,33.95162604,165.2144048,0.410721999,0.405573935,20.36184473,106.83869,16.02334601,6.270337035,0.063786587,0.843006544,0.15182047,,66.09597084,3.782995301,7.716029584,1.505667639,7.411495936,2.225093782,1.670747399,2.640083002,0.465282501,3.144629664,0.658969868,1.906996643,0.252863619,1.690230938,0.237513605,0.599351312,0.352731663,1.770618928,0.011986979,0.265031792,0.103949637
9,10.0,,285.0,24.63,76.46,010_U.exp,0.22585714526435838,4.583373479834222,,0.8778334781774747,420.3187236226338,4.023438683589271,-7.783308609304207,,43.534891775372095,38.80697982,25.14805294,38949.52299,4324.856447,3605.047501,246300,37805.448,42.25038501,2699.975511,110.360999,84.09991196,841.2147915,26.35510993,76.84756914,58.37590724,102.6970448,0.460722989,0.403590924,48.03667203,137.5320402,16.77061345,5.091491677,0.07562884,1.09458204,0.18489419,,155.8497152,4.056626337,8.337105722,1.611790039,7.969698308,2.338782314,1.389685372,2.796649148,0.494925255,3.340310098,0.695253497,1.991859354,0.26262264,1.795448687,0.248154535,0.619948862,0.800018944,1.977260839,0.014275517,0.420969301,0.104844707
10,11.0,,285.0,24.56,76.81,011_U.exp,0.3150369354740588,4.581603987379548,,0.8778247693578923,421.2614473956989,4.021845463510652,-8.176211218088202,,60.860860406443585,35.69819045,42.40709055,44901.89044,3424.258427,4757.044665,246300,44640.62263,44.22603412,2026.502711,109.5286414,59.88742617,761.4243462,19.82691068,54.09974914,31.00308824,75.8224274,0.561260982,0.925663291,24.16156696,256.5976667,25.8690154,7.95894307,0.09774155,1.255418869,0.201898562,,86.19337517,10.19468651,20.3544025,4.195781249,21.74017582,6.024232997,2.380881236,6.522753188,0.98254924,5.891213363,1.111044909,2.876336918,0.347890724,2.093706697,0.266723294,0.911131186,0.41876611,3.610881909,0.021324796,0.672542285,0.158741051
