0,Neptune Analysis Data Report,,,,,,,,,,,
1,Filename: C:\Neptune\User\Neptune\Data\Boron\2022-02-15 Boron IC-F FF AAJ_5RMs_Seq2_20220215-221507\329_U.dat,,,,,,,,,,,
2,Date: 16/02/2022,,,,,,,,,,,
3,Sample ID: ,,,,,,,,,,,
4,Method Name: C:\Neptune\User\Neptune\Methods\B method F F_AAJ.met,,,,,,,,,,,
5,Wheel ID: ,,,,,,,,,,,
6,Run number: 329,,,,,,,,,,,
7,View Mode: RUN_VIEW,,,,,,,,,,,
8,Evaluation Mode: Static,,,,,,,,,,,
9,Analysis date: 16/02/2022,,,,,,,,,,,
10,Analysis time: 05:53:05,,,,,,,,,,,
11,Operator: ,,,,,,,,,,,
12,Instrument: ,,,,,,,,,,,
13,Comment: ,,,,,,,,,,,
14,SampleType: SMP,,,,,,,,,,,
15,Blank 1: ,,,,,,,,,,,
16,Blank 2: ,,,,,,,,,,,
17,Standard 1: ,,,,,,,,,,,
18,Standard 2: ,,,,,,,,,,,
19,Data Version: 3.3.0.3 ,,,,,,,,,,,
20,Export Version: 3.3.0.3 ,,,,,,,,,,,
21,,,,,,,,,,,,
22,Cycle,Time,9.9,10B,10.2,10.436,10.9,11B,11B/10B (1),10B/9.9 (2),10B/10.1 (3),
23,1,05:53:34:676,2.3893216832959868e-004,3.7252530221928835e-004,1.9104088614612112e-004,2.0516851323716347e-004,1.9695690809800484e-004,7.3599930034934813e-004,1.9757028474702090e+000,0.0000000000000000e+000,0.0000000000000000e+000,
24,2,05:53:34:942,2.4183138563646080e-004,4.2724913027184625e-004,2.6705972359568700e-004,1.7804700452130271e-004,1.4057457127221329e-004,9.0371840232229296e-004,2.1152024387908832e+000,0.0000000000000000e+000,0.0000000000000000e+000,
25,3,05:53:35:207,2.7039874123063794e-004,4.1898390880924850e-004,2.4581235603110730e-004,1.9135842324154281e-004,2.8493941070312521e-004,9.1934217912530212e-004,2.1942183453729069e+000,0.0000000000000000e+000,0.0000000000000000e+000,
26,4,05:53:35:475,3.0234623533345573e-004,4.4452163264330311e-004,2.1233730115219798e-004,1.0591028233638983e-004,3.7049602257427303e-005,9.3059848708653347e-004,2.0934830135325999e+000,0.0000000000000000e+000,0.0000000000000000e+000,
27,5,05:53:35:740,3.0763559979011959e-004,4.6727283344260412e-004,2.4471787173502930e-004,6.6774592498455648e-005,1.0421426917835224e-004,9.0015071319133743e-004,1.9263921391695980e+000,0.0000000000000000e+000,0.0000000000000000e+000,
28,6,05:53:36:006,2.6690454119088821e-004,4.2674511145371011e-004,2.6115650442327248e-004,1.6882095174514873e-004,9.2772757109913566e-005,9.3338466793593691e-004,2.1872181845419525e+000,0.0000000000000000e+000,0.0000000000000000e+000,
29,7,05:53:36:273,2.4301415670053111e-004,4.0246038960975856e-004,2.1737691631888297e-004,1.5869452445452513e-004,1.4206052721265036e-004,9.5021857208262570e-004,2.3610238339330611e+000,0.0000000000000000e+000,0.0000000000000000e+000,
30,8,05:53:36:539,2.8207464451365821e-004,4.3292058375445563e-004,2.0696759832533596e-004,-8.2654563995559902e-005,3.0158319201907503e-004,9.3979485168383281e-004,2.1708250587984672e+000,0.0000000000000000e+000,0.0000000000000000e+000,
31,9,05:53:36:805,3.2834146035681658e-004,4.2818229213841506e-004,2.4562270632717766e-004,1.0545648739548681e-004,1.0848979881167368e-004,8.9398660930802476e-004,2.0878645047260220e+000,0.0000000000000000e+000,0.0000000000000000e+000,
32,10,05:53:37:071,2.7827892846029006e-004,4.3083113125572570e-004,2.3039492928609635e-004,1.1518985378151440e-004,-1.6610072003130341e-005,9.0732873483474427e-004,2.1059962222093622e+000,0.0000000000000000e+000,0.0000000000000000e+000,
33,11,05:53:37:337,2.6336749573565562e-004,4.6645838056425215e-004,2.4145664949006641e-004,7.2736835605426432e-007,-1.0017686551003221e-004,9.6195435444840227e-004,2.0622511986702277e+000,0.0000000000000000e+000,0.0000000000000000e+000,
34,12,05:53:37:602,2.1793013020679201e-004,4.2807690233668074e-004,2.5924686257252331e-004,1.9105150963261525e-005,1.6674996291919441e-004,9.0861764296579922e-004,2.1225570405832714e+000,0.0000000000000000e+000,0.0000000000000000e+000,
35,13,05:53:37:868,3.1294484552772537e-004,3.9213949977829433e-004,2.6320804393775737e-004,3.1049599755507763e-005,2.2485832574246385e-004,9.1514518534195643e-004,2.3337235495515145e+000,0.0000000000000000e+000,0.0000000000000000e+000,
36,14,05:53:38:134,3.6326521300137249e-004,4.3880439151202180e-004,2.4198114015751174e-004,1.0613477087558756e-004,2.1953252649658413e-004,9.2620171849660204e-004,2.1107394010007923e+000,3.6015081994190245e+004,3.6015081994190245e+004,
37,15,05:53:38:401,3.4961467989055400e-004,4.7076994884262953e-004,2.1882156234783964e-004,1.9548227209410859e-005,1.5780829092584112e-004,9.9402365135243002e-004,2.1114849276089105e+000,6.3640870703589171e+003,6.3640870703589171e+003,
38,16,05:53:38:667,2.9489520961538352e-004,4.3311035005925719e-004,2.6603275619245927e-004,7.5888197742408970e-005,1.7184266198373740e-004,9.8298622622778882e-004,2.2695976350906850e+000,8.7352020362679159e+003,8.7352020362679159e+003,
39,17,05:53:38:934,2.3089159736472328e-004,3.9789416939570074e-004,2.5214333533603620e-004,2.3868985612875246e-004,1.9494330827400457e-004,8.8580837316496331e-004,2.2262411497767842e+000,3.2596089392626967e+004,3.2596089392626967e+004,
40,18,05:53:39:200,2.2212815068456130e-004,4.4210689908889177e-004,2.1740341818400613e-004,1.3629113358898005e-004,1.0453118707995138e-004,9.3754248953523405e-004,2.1206239745802473e+000,3.5775539026825236e+003,3.5775539026825236e+003,
41,19,05:53:39:466,2.9079316548287124e-004,4.7291879262302322e-004,2.4446351919893910e-004,1.7186098170725262e-004,8.4908463099664337e-005,9.1554173768078578e-004,1.9359385838798537e+000,-1.9371110614965695e+004,-1.9371110614965695e+004,
42,20,05:53:39:732,3.1504597361130677e-004,4.4397541436118771e-004,2.4996082725801304e-004,4.3041571689910523e-005,8.4705252304886981e-005,9.7893340450455374e-004,2.2049270586595164e+000,0.0000000000000000e+000,0.0000000000000000e+000,
43,21,05:53:39:998,2.9277543166199657e-004,4.2302365474762945e-004,2.8034132570656212e-004,4.4101166391228605e-005,9.3344773638560284e-005,9.1455670684883886e-004,2.1619516936811767e+000,0.0000000000000000e+000,0.0000000000000000e+000,
44,22,05:53:40:263,2.6976585636223204e-004,4.4668731533955636e-004,2.6288208075872299e-004,-5.3514222255126415e-005,2.7000553894445593e-004,9.2025608727339331e-004,2.0601795835054020e+000,0.0000000000000000e+000,0.0000000000000000e+000,
45,23,05:53:40:529,2.8151100206327806e-004,4.4635388725816638e-004,2.2539408346121818e-004,1.1580244301410450e-004,9.3642052459631998e-005,9.4351017911228300e-004,2.1138164269342785e+000,0.0000000000000000e+000,0.0000000000000000e+000,
46,24,05:53:40:796,2.7786219236788023e-004,4.3659894184753996e-004,2.2311080366455791e-004,-5.1396437875297586e-005,1.4910826891458408e-004,9.5110753073309351e-004,2.1784467152126528e+000,3.5766842622505959e+004,3.5766842622505959e+004,
47,25,05:53:41:062,3.0782714504010508e-004,4.3206389841161284e-004,2.1809465726063657e-004,1.7704997721733142e-004,5.8282715985582741e-005,9.9042969101174059e-004,2.2923222575476356e+000,6.9925712857509698e+003,6.9925712857509698e+003,
